poi_name,brand,latitude,longitude,shape_surface,postcode,index_to_benchmark_local,footfall_area_id,footfall_index
Le Roch Restaurant & Bar,,48.86619,2.33293,1249,75001,1.7003442370469344,891fb4675b3ffff,0.82044252273535412
Le Roch Restaurant & Bar,,48.86619,2.33293,1249,75001,1.7003442370469344,891fb4675b3ffff,0.84107606461956841
le PARIS HALLES café,,48.86139,2.34944,453,75001,1.7003442370469344,891fb4662c3ffff,0.95493563120467562
le PARIS HALLES café,,48.86139,2.34944,453,75001,1.7003442370469344,891fb4662c3ffff,0.96587024477263816
Liquide,,48.86098,2.34234,1249,75001,1.7003442370469344,891fb4662dbffff,0.82827631301068072
Liquide,,48.86098,2.34234,1249,75001,1.7003442370469344,891fb4662dbffff,0.83725071315824839
La Mazane,,48.86388,2.34819,318,75001,1.7003442370469344,891fb4662d7ffff,0.84410938148518888
La Mazane,,48.86388,2.34819,318,75001,1.7003442370469344,891fb4662d7ffff,0.8540573847036188
Bliss,,48.86359,2.34364,1249,75001,1.7003442370469344,891fb4662d3ffff,0.82462090948811828
Bliss,,48.86359,2.34364,1249,75001,1.7003442370469344,891fb4662d3ffff,0.83806848783266574
Fred et Ginger,,48.86409,2.34377,1249,75001,1.7003442370469344,891fb4662d3ffff,0.82462090948811828
Fred et Ginger,,48.86409,2.34377,1249,75001,1.7003442370469344,891fb4662d3ffff,0.83806848783266574
Madame Rêve Café,,48.86458,2.34294,1,75001,1.7003442370469344,891fb4675a7ffff,0.76019973074776015
Madame Rêve Café,,48.86458,2.34294,1,75001,1.7003442370469344,891fb4675a7ffff,0.77549321992933784
Maison Popeille,,48.86697,2.33246,1249,75001,1.7003442370469344,891fb4675b3ffff,0.82044252273535412
Maison Popeille,,48.86697,2.33246,1249,75001,1.7003442370469344,891fb4675b3ffff,0.84107606461956841
Le 202 Rivoli,,48.86503,2.33065,1249,75001,1.7003442370469344,891fb4675bbffff,0.77811582609692587
